https://chuxinya.top/f/XooOhO/%E6%B8%AF%E6%BE%B3%E5%8F%B0%E8%B5%84%E6%BA%90.txt
https://raw.githubusercontent.com/qinvision/TV/refs/heads/main/TV.txt
https://ghfast.top/https://raw.githubusercontent.com/qinvision/TV/refs/heads/main/TV.txt

█████████████████████████████████████████████
📺深圳电信酒店,#genre#
█████████████████████████████████████████████
来自广东电信的酒店源(183.24.62.163:44443)共有56个频道：
CCTV1综合,http://183.24.62.163:44443/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://183.24.62.163:44443/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://183.24.62.163:44443/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://183.24.62.163:44443/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://183.24.62.163:44443/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://183.24.62.163:44443/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://183.24.62.163:44443/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://183.24.62.163:44443/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://183.24.62.163:44443/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://183.24.62.163:44443/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://183.24.62.163:44443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://183.24.62.163:44443/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://183.24.62.163:44443/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://183.24.62.163:44443/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://183.24.62.163:44443/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTVNEWS,http://183.24.62.163:44443/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.24.62.163:44443/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://183.24.62.163:44443/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://183.24.62.163:44443/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
来自广东电信的酒店源(183.24.62.163:44443)共有56个频道：
广东公共,http://183.24.62.163:44443/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://183.24.62.163:44443/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://183.24.62.163:44443/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://183.24.62.163:44443/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://183.24.62.163:44443/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://183.24.62.163:44443/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://183.24.62.163:44443/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://183.24.62.163:44443/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://183.24.62.163:44443/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://183.24.62.163:44443/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
